Date,Open,High,Low,Close
1973-11-09,295.7,299,289.3,292
1973-11-16,287.2,288.5,278.5,286
1973-11-23,288,291.8,285,287.5
1973-11-30,286,304.5,278.5,301.7
1973-12-07,301.1,318,300.2,313
1973-12-14,310.5,317.1,302.5,308.8
1973-12-21,312,326.4,310.6,322.8
1973-12-28,324.2,331.3,324,326.7
1974-01-04,329.5,340.3,326.1,329
1974-01-11,331,346.8,330,345.8
1974-01-18,349.5,380.6,346.5,380.6
1974-01-25,401.7,409.5,373,409.5
1974-02-01,415.5,424.9,402.4,424.9
1974-02-08,434.9,490.3,434.9,490.3
1974-02-15,505.3,550.3,505.3,550.3
1974-02-22,535.3,599.4,535.3,599.4
1974-03-01,614.4,649.4,576,576
1974-03-08,578,578,517.3,528.5
1974-03-15,523.5,575,521.5,547.5
1974-03-22,550,599.5,550,579.6
1974-03-29,579.5,579.5,519.6,556.1
1974-04-05,550.5,550.5,516.1,519.3
1974-04-12,499.3,499.3,439.3,443.6
1974-04-19,443.2,510.5,440,510.5
1974-04-26,530.5,585,530.5,562
1974-05-03,560,593.5,552.6,572
1974-05-10,565,588,521,582.5
1974-05-17,584,622.5,571,587
1974-05-24,574,574,500.5,500.5
1974-05-31,480.5,520.5,461,493.5
1974-06-07,474.5,528.5,464,524
1974-06-14,535,539,490.5,507
1974-06-21,494,514,479,489.5
1974-06-28,481.5,493,461,480
1974-07-05,479,482,417.5,422.5
1974-07-12,438,453,394.5,395.5
1974-07-19,413.5,467.5,395.5,461.1
1974-07-26,449.5,524,449.5,510
1974-08-02,541.5,541.5,486.5,486.5
1974-08-09,475,502.5,447,451
1974-08-16,455,475.3,443.8,462.5
1974-08-23,478,488.8,441.5,465.2
1974-08-30,461.5,465.5,416,429.5
1974-09-06,422.5,429.4,390.5,421
1974-09-13,413,427,395,412.5
1974-09-20,402,405,377,399
1974-09-27,407,439.5,406.5,422.5
1974-10-04,443,524.3,442.2,524.3
1974-10-11,504.3,516.5,464.4,468.6
1974-10-18,476.1,486.9,458,486.9
1974-10-25,507.5,533.5,495.5,529.6
1974-11-01,554.5,559,500.5,502.2
1974-11-08,495,547,494,538.5
1974-11-15,511,516,478.5,478.5
1974-11-22,493,493,430,454
1974-11-29,450,476,446,474
1974-12-06,476.5,477.5,441,452.4
1974-12-13,450.5,460,436.3,458.3
1974-12-20,466.5,490.5,462,476.1
1974-12-27,490,517.5,488.5,510.3
1975-01-03,502.5,503,451,451.1
1975-01-10,443.5,460.2,431.1,460.2
1975-01-17,465.5,471.5,423,423
1975-01-24,423,458,415,457.5
1975-01-31,457.5,462,429,431.9
1975-02-07,437.3,453.5,430,453.5
1975-02-14,452,473,439.5,467.4
1975-02-21,473.6,487.5,472,478
1975-02-28,482,486.5,455,464.7
1975-03-07,468,468,439.5,445.6
1975-03-14,442.3,472,442.3,462
1975-03-21,465.1,472.5,432.7,439.6
1975-03-28,437.5,442,423,430.1
1975-04-04,429.5,441,411.3,413.8
1975-04-11,415,424.5,409.5,419.8
1975-04-18,410.5,447.9,407.5,440.5
1975-04-25,433,444,428,438.9
1975-05-02,437.8,450,433,435.3
1975-05-09,431,464.5,431,463.5
1975-05-16,462,473.8,446,465.5
1975-05-23,469,486.8,462,474.5
1975-05-30,471,472,450,452
1975-06-06,440,448.9,436,442
1975-06-13,447.8,468,446.5,454.1
1975-06-20,456,461,448.5,456
1975-06-27,456.5,472,452.5,463.6
1975-07-04,469,470,455.5,462
1975-07-11,458.1,476,453,472.5
1975-07-18,479,480.5,466,479.1
1975-07-25,471,508,471,506.5
1975-08-01,510,558.5,507,524.9
1975-08-08,531,545.5,521,522.1
1975-08-15,542,556.5,524.5,536
1975-08-22,533.5,541,522.5,530
1975-08-29,531,534.5,494,495.8
1975-09-05,477.5,495,475.8,489.7
1975-09-12,485.3,504,472.8,502.2
1975-09-19,500,501.5,483.2,483.2
1975-09-26,484,489.8,474.5,487.1
1975-10-03,487.5,492.5,470,474.8
1975-10-10,478,481.5,454,457.8
1975-10-17,463.5,477.5,460.3,473.8
1975-10-24,472.5,476.5,455.5,458.3
1975-10-31,449.5,459,446.5,450.3
1975-11-07,455.1,483,452.8,481.1
1975-11-14,479.1,484,469.5,473.1
1975-11-21,468.5,468.5,450,455.4
1975-11-28,452.1,461.4,439,439.2
1975-12-05,436.5,441.8,422.5,427.5
1975-12-12,425,432,411.5,420.3
1975-12-19,418.3,450.9,415,450.9
1975-12-26,451,461.6,445.5,451.3
1976-01-02,453.5,453.5,439.3,446.3
1976-01-09,444,457,441.5,444
1976-01-16,446,451.3,411,419.7
1976-01-23,415.5,418.5,396,409.5
1976-01-30,401,420.5,396,412.5
1976-02-06,419.7,422.5,406.5,414.4
1976-02-13,413,433.3,409.3,427.2
1976-02-20,422.5,437.5,422.5,435.3
1976-02-27,436.5,441,430.5,435.6
1976-03-05,433.8,445,426,440.2
1976-03-12,439.5,446.5,435.4,436.2
1976-03-19,440.5,440.5,425.7,434.4
1976-03-26,430.5,433,418,418.7
1976-04-02,417,426,411.3,420.5
1976-04-09,417,453,415.5,450.5
1976-04-16,448.5,469,448.5,464.8
1976-04-23,462.5,482.5,460.5,461.8
1976-04-30,452.5,478,452,466.3
1976-05-07,451,471.9,440.2,471.9
1976-05-14,464,467,453.3,458.4
1976-05-21,457.8,466,446,462
1976-05-28,459,490,458.1,488.2
1976-06-04,489.5,494,483,483.1
1976-06-11,481.5,510.5,481.5,509.6
1976-06-18,508,511.5,492.5,499.6
1976-06-25,498.5,509,475.1,477.7
1976-07-02,475,514,473,506
1976-07-09,516,530,505,520.4
1976-07-16,513,518,476,480.4
1976-07-23,485,488,452,472.6
1976-07-30,472,479.5,462.5,464.5
1976-08-06,460,462,435,436.7
1976-08-13,432.5,455.8,428,451.3
1976-08-20,452,454,431,441.3
1976-08-27,439.8,446.2,415.2,425.3
1976-09-03,422,444,417.5,439.1
1976-09-10,450.5,455.5,425,426
1976-09-17,424,446.8,421,443.5
1976-09-24,440.5,460.5,437,460.1
1976-10-01,462.5,462.5,448.8,452.1
1976-10-08,448,454.5,434,436.1
1976-10-15,431,439.7,426,436.6
1976-10-22,439.2,442.2,432.3,432.3
1976-10-29,426.5,447,426,445.4
1976-11-05,446,461.3,442.2,451.9
1976-11-12,455.5,481,451.4,479.7
1976-11-19,477.2,477.2,447.5,455.8
1976-11-26,460,461.5,448.9,448.9
1976-12-03,450,463,448.9,462
1976-12-10,464.1,466,454,461.8
1976-12-17,458,468,453.5,456.3
1976-12-24,457,462.2,456.5,461.4
1976-12-31,460.2,464.2,457.1,458.6
1977-01-07,460.5,467.2,454.9,456.3
1977-01-14,461,461.5,452,455.2
1977-01-21,457.9,465.5,457.6,465.1
1977-01-28,468,478.8,467.2,468.7
1977-02-04,468,474.3,465.5,473.8
1977-02-11,478,479.8,469,469.8
1977-02-18,471.8,476.3,469.2,475.2
1977-02-25,478,490,477,488.6
1977-03-04,492.5,508.5,490,507.6
1977-03-11,508.8,514,495,501.4
1977-03-18,501.5,513,495.5,512.3
1977-03-25,517.1,520.5,505.3,507
1977-04-01,499,509,493,508.9
1977-04-08,508.5,508.8,483.7,494.2
1977-04-15,495.2,505,490.9,504
1977-04-22,501.8,508,496.8,501.3
1977-04-29,499.7,499.8,486,493.5
1977-05-06,494,498,485,489.2
1977-05-13,487,499,485,493.2
1977-05-20,493.5,495.8,478,479.2
1977-05-27,487.7,487.7,468.5,471.2
1977-06-03,468.5,475.2,467.5,473.6
1977-06-10,474,477.3,451,451.8
1977-06-17,457.8,463.3,450.5,463.2
1977-06-24,457.5,469,453.8,460.2
1977-07-01,462.7,472.2,457.5,458.6
1977-07-08,456,462.8,455.5,460.3
1977-07-15,459.8,473.5,457.5,471.7
1977-07-22,470,478.8,466.8,475.8
1977-07-29,485,487.6,464.5,467.3
1977-08-05,466,480.7,462.5,477.9
1977-08-12,461.5,468,450,451
1977-08-19,448.5,450.9,440,448.8
1977-08-26,447.8,449,438.3,447.7
1977-09-02,447,459,445.5,457.5
1977-09-09,457,458.5,450.6,454.4
1977-09-16,455,462,447.5,461.8
1977-09-23,476.1,481.5,460.5,475.7
1977-09-30,479,486,478.5,482.6
1977-10-07,486.5,487.4,480.5,483.8
1977-10-14,489,500.9,489,500.9
1977-10-21,502.8,505,494,501.3
1977-10-28,503.5,508.4,490.8,499.9
1977-11-04,513.5,529.5,497.7,505.5
1977-11-11,522.3,522.3,503,504.5
1977-11-18,499.5,501.3,485.3,494.9
1977-11-25,524.7,525.9,480,484
1977-12-02,487.4,488,475,477
1977-12-09,480,488.4,479,480.9
1977-12-16,481.5,482.7,466.5,473.9
1977-12-23,474,481.3,468,480.5
1977-12-30,480.7,487.5,480.2,484.9
1978-01-06,491,502.2,486,492.5
1978-01-13,491.5,548.3,491.5,503.5
1978-01-20,545,547.2,534.7,537.5
1978-01-27,553.5,560.7,549.8,549.8
1978-02-03,543.5,544.4,533,533.9
1978-02-10,536.4,549.3,524.5,549.3
1978-02-17,552.3,565,549.2,562.2
1978-02-24,565.5,566.5,554.3,554.3
1978-03-03,552.5,561.6,552.5,559.2
1978-03-10,560.2,606,513.5,596.7
1978-03-17,592.5,617,592.5,596
1978-03-24,589,590.66,576,590.6
1978-03-31,594,607.5,587,607.5
1978-04-07,605.7,606.3,575.1,581.4
1978-04-14,584.5,594,575.1,578.7
1978-04-21,569,571,546.5,553.6
1978-04-28,541.7,554,539.5,550.5
1978-05-05,547.8,562.6,547.1,559.8
1978-05-12,555.7,561.8,553.8,555.1
1978-05-19,559.4,570.5,558,566.8
1978-05-26,569.2,576.5,565.2,575.6
1978-06-02,576.5,600.5,575.8,584.5
1978-06-09,575.8,577.8,565,566.7
1978-06-16,561,584,560.3,583.5
1978-06-23,573,591,573,580.7
1978-06-30,572,586.2,560.7,560.7
1978-07-07,564.8,565.3,556,562.6
1978-07-14,566.5,567.5,562.5,562.6
1978-07-21,558.4,607.3,553.2,594.4
1978-07-28,620.5,633,598.5,626.2
1978-08-04,629,639,598.9,621.4
1978-08-11,607.5,615.5,600.5,613.4
1978-08-18,618.5,632.2,588,588.4
1978-08-25,585,594,584,590.7
1978-09-01,593.5,605.5,587.4,605.5
1978-09-08,603,608.5,594.5,605.9
1978-09-15,603.3,623,595.6,617.6
1978-09-22,615.7,631,615.5,629.6
1978-09-29,628,633.3,620.2,624.4
1978-10-06,629.6,646,629.6,637.3
1978-10-13,638.3,657,637,646.3
1978-10-20,641.5,654.8,640,640.3
1978-10-27,639.3,676.2,635,674
1978-11-03,670.8,683.5,622,625.1
1978-11-10,634,649,620.5,625.1
1978-11-17,609.5,666.1,609.5,666.1
1978-11-24,649.5,667.9,635,667.9
1978-12-01,649,662.5,642,643.6
1978-12-08,661,661,630.3,650
1978-12-15,653.7,653.8,621.1,621.1
1978-12-22,659,664.3,625.8,627.1
1978-12-29,654.5,667,637.5,638.1
1979-01-05,615,661.8,606,660.3
1979-01-12,660.8,665.5,650.1,656.3
1979-01-19,653.5,686,614,684.3
1979-01-26,689.5,716,683.5,714.4
1979-02-02,719,728.5,666.5,691.9
1979-02-09,758,808.9,757,789.6
1979-02-16,793,813.6,764.5,813.6
1979-02-23,823.6,853,823.6,842
1979-03-02,831,837,782,810
1979-03-09,790,795.5,722,778.3
1979-03-16,734,801.5,715,793.3
1979-03-23,796,830,789,816.5
1979-03-30,836.5,836.5,795,797.6
1979-04-06,801.5,809,777,805.7
1979-04-13,805.5,818,793,794.5
1979-04-20,774,774,737.3,750
1979-04-27,749.5,790,746,789
1979-05-04,782,835.5,782,835.5
1979-05-11,849,866,825.8,835
1979-05-18,845,866,825.5,839
1979-05-25,853,893,850,892.5
1979-06-01,900,900,856.5,856.6
1979-06-08,847,873,837,860.5
1979-06-15,860,868,831,851.5
1979-06-22,880.5,904,860.5,888.3
1979-06-29,894.3,897,852,878
1979-07-06,882.5,914.2,865.6,900
1979-07-13,890,935.5,888,908.5
1979-07-20,918.5,1005.7,918,1005.7
1979-07-27,1013,1017,985,989.1
1979-08-03,969.1,969.1,937.2,946.7
1979-08-10,926.7,964,918.5,954.3
1979-08-17,945.5,955,906,946.7
1979-08-24,966,1018,942.1,1016.5
1979-08-31,1013,1093.5,1011,1086
1979-09-07,1124.4,1226,1115,1219
1979-09-14,1225,1346.5,1214,1346.5
1979-09-21,1397,1646.5,1396,1629
1979-09-28,1669,1727,1572,1719
1979-10-05,1759,1799,1691,1691
1979-10-12,1631,1850,1631,1823
1979-10-19,1850,1855,1745,1833
1979-10-26,1833,1854,1766,1766
1979-11-02,1726,1746,1656,1684.5
1979-11-09,1710,1768,1696,1702.5
1979-11-16,1720,1723,1635,1692.5
1979-11-23,1700,1723,1656,1699.5
1979-11-30,1707,1927,1695,1927
1979-12-07,2007,2060,1937,1937
1979-12-14,1965,2245,1941,2238
1979-12-21,2280,2505,2267,2505
1979-12-28,2550,2805,2550,2805
1980-01-04,2905,3205,2905,3205
1980-01-11,3305,3550,3250,3550
1980-01-18,3650,4050,3650,4050
1980-01-25,4150,4229,3750,3750
1980-02-01,3650,3750,3475,3475
1980-02-08,3465,3910,3375,3910
1980-02-15,4010,4115,3783,3825
1980-02-22,3725,3725,3450,3450
1980-02-29,3481,3645,3400,3634
1980-03-07,3610,3760,3505,3505
1980-03-14,3405,3405,3005,3005
1980-03-21,2905,2905,2505,2505
1980-03-28,2405,2415,2105,2147
1980-04-04,1905,1905,1705,1747
1980-04-11,1505,1735,1505,1596
1980-04-18,1580,1600,1385,1457
1980-04-25,1407,1503,1372,1503
1980-05-02,1428,1428,1200,1338
1980-05-09,1380,1390,1260,1310
1980-05-16,1295,1334,1255,1262
1980-05-23,1250,1253,1090,1205
1980-05-30,1255,1395,1245,1395
1980-06-06,1475,1700,1432,1690
1980-06-13,1765,1765,1515,1630
1980-06-20,1590,1617,1520,1593
1980-06-27,1562,1679,1551,1679
1980-07-04,1700,1738,1680,1728
1980-07-11,1715,1780,1590,1655
1980-07-18,1605,1631,1530,1570
1980-07-25,1575,1685,1561,1684
1980-08-01,1651,1671,1542,1584
1980-08-08,1595,1649,1581,1602
1980-08-15,1570,1655,1550,1629
1980-08-22,1601,1714,1600,1686
1980-08-29,1680,1685,1642,1684
1980-09-05,1693,1777,1667,1777
1980-09-12,1852,2216,1852,2140
1980-09-19,2040,2235,2040,2218
1980-09-26,2318,2418,2230,2260
1980-10-03,2160,2225,2035,2065
1980-10-10,2085,2228,2085,2200
1980-10-17,2175,2187,2050,2050
1980-10-24,2050,2050,1865,1900
1980-10-31,1920,1970,1854,1910
1980-11-07,1932,2032,1818,1818
1980-11-14,1848,1886,1758,1851.5
1980-11-21,1917.5,2050,1910,2033
1980-11-28,1985,2004,1890,1945
1980-12-05,1995,1995,1845,1873
1980-12-12,1823,1853,1498,1585
1980-12-19,1630,1675,1507,1675
1980-12-26,1646.5,1720,1620,1712
1981-01-02,1667,1674,1552,1605
1981-01-09,1640,1697,1540,1554
1981-01-16,1506,1580,1500,1543
1981-01-23,1540,1593,1441,1457
1981-01-30,1407,1407,1288,1345
1981-02-06,1310,1373,1273,1368
1981-02-13,1390,1418,1250,1275
1981-02-20,1320,1329,1268,1315
1981-02-27,1295,1334,1245,1250
1981-03-06,1200,1240,1163,1200
1981-03-13,1215,1264,1181,1238
1981-03-20,1264,1367,1243,1367
1981-03-27,1333,1360,1290,1292
1981-04-03,1270,1272,1170,1230
1981-04-10,1248,1248,1116,1121
1981-04-17,1080,1153,1080,1145
1981-04-24,1120,1185,1105,1155.2
1981-05-01,1140,1159,1123,1141
1981-05-08,1126,1179,1113,1178
1981-05-15,1183,1183,1098,1120
1981-05-22,1125,1127,1071,1073
1981-05-29,1050.5,1099,1040,1088
1981-06-05,1091,1108,992,1000
1981-06-12,1025,1085,1001,1057
1981-06-19,1060,1064,995,1002
1981-06-26,1007,1034.5,940,955
1981-07-03,905,905,849,862
1981-07-10,850,940,841,933
1981-07-17,920,923,864,918
1981-07-24,908,908,862,867
1981-07-31,872,880,840,864
1981-08-07,841,891,834,863
1981-08-14,855,982,850,952
1981-08-21,960,1026,952,1008
1981-08-28,984,990,911,967
1981-09-04,970,1059,945,1042
1981-09-11,1045,1168,1038,1154
1981-09-18,1160,1180,1034,1034
1981-09-25,1060,1105,924,924
1981-10-02,870,977,849,971
1981-10-09,980,993,922,966
1981-10-16,965,1005,938,957
1981-10-23,950,952,906,928
1981-10-30,910,946,900,925
1981-11-06,928,941,911,921
1981-11-13,920,929,852,867
1981-11-20,835,854.5,807,841.5
1981-11-27,825,858,822,856.7
1981-12-04,858,928,823,912
1981-12-11,898,925,857,873
1981-12-18,902,925,881,890
1981-12-25,885,885,827,841
1982-01-01,830,846,805,829
1982-01-08,818,864,811,833
1982-01-15,813,827,785,787
1982-01-22,794,808,789,793.5
1982-01-29,787,841,783,828
1982-02-05,820,869,812.5,867
1982-02-12,860,882,842,864.5
1982-02-19,864,867.5,819,821
1982-02-26,838,840,793,794
1982-03-05,794.5,812,744.5,746.5
1982-03-12,741,743,700,710
1982-03-19,700,743,700,715
1982-03-26,723,746,711,713
1982-04-02,708,728,705,725
1982-04-09,737,772,733,760
1982-04-16,753,770,740,762
1982-04-23,754,755,714,743.4
1982-04-30,752,752,668,702
1982-05-07,707,709,680,692
1982-05-14,684,692,673,689
1982-05-21,689,690,672,680.5
1982-05-28,662,666,628,629.5
1982-06-04,617,617,585,591.5
1982-06-11,604,630,584,601
1982-06-18,584,587.5,506,510.5
1982-06-25,488,538,478,531.7
1982-07-02,528,630,521,602
1982-07-09,603,661.5,558,651
1982-07-16,654.5,673,628,661
1982-07-23,659,740,653,733
1982-07-30,713,748,639,674
1982-08-06,697,718,678,683
1982-08-13,660,668,614,644
1982-08-20,657,797,651,797
1982-08-27,810,866,785,815
1982-09-03,805,884,770,884
1982-09-10,959,997,875,898
1982-09-17,895,947,889,909
1982-09-24,887,943,870,880
1982-10-01,865,871,813,852
1982-10-08,802,930,802,912
1982-10-15,932,1063,927,977
1982-10-22,980,1070,972,1063
1982-10-29,1023,1028,963,1009
1982-11-05,1035,1101,1029,1064
1982-11-12,1030,1037,930,960
1982-11-19,940,998.5,932,979
1982-11-26,959,980,895,972.2
1982-12-03,985,1074,972,1060
1982-12-10,1072,1143,1043,1052
1982-12-17,1057,1119,1022,1059
1982-12-24,1063,1110,1057.5,1090
1982-12-31,1110,1150,1102,1110
1983-01-07,1116,1182,1100,1174
1983-01-14,1203,1304,1196,1293
1983-01-21,1309,1335,1263,1277
1983-01-28,1232,1380,1227,1371
1983-02-04,1390,1468,1385,1403
1983-02-11,1385,1453,1370,1446
1983-02-18,1431,1493,1428,1456
1983-02-25,1443,1451,1287,1287
1983-03-04,1150,1172,1020,1031
1983-03-11,1064,1141,1016,1104
1983-03-18,1112,1154,1034,1045
1983-03-25,1035,1077,1021,1060
1983-04-01,1035,1083,1030,1075
1983-04-08,1080,1142,1080,1104
1983-04-15,1122,1225,1120,1222
1983-04-22,1240,1267,1175,1234.6
1983-04-29,1251,1265,1198,1224
1983-05-06,1220,1295,1214,1287
